PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
11,01,ACEH,SIMEULUE,1144004,96.060445, 2.669019
11,02,ACEH,ACEH SINGKIL,1144004,97.922151,2.384000
11,02,ACEH,ACEH SINGKIL,1144004,97.988713,2.538332
11,03,ACEH,ACEH SELATAN,1144004,97.400575, 3.158357
11,04,ACEH,ACEH TENGGARA,1144004,97.676114, 3.388599
11,05,ACEH,ACEH TIMUR,1144004,97.618384, 4.627398
11,06,ACEH,ACEH TENGAH,1144004,96.855833, 4.528079
11,07,ACEH,ACEH BARAT,1144004,96.187806, 4.468440
11,08,ACEH,ACEH BESAR,1144004,95.53111, 5.365889
11,09,ACEH,PIDIE,1144004,95.972559, 5.081671
11,10,ACEH,BIREUEN,1144004,96.623012, 5.092543
11,11,ACEH,ACEH UTARA,1144004,97.147885, 5.003163
11,12,ACEH,ACEH BARAT DAYA,1144004,96.896034, 3.824400
11,13,ACEH,GAYO LUES,1144004,97.354895, 3.983611
11,14,ACEH,ACEH TAMIANG,1144004,97.953342, 4.233520
11,15,ACEH,NAGAN RAYA,1144004,96.497994, 4.163305
11,16,ACEH,ACEH JAYA,1144004,95.679848, 4.827339
11,17,ACEH,BENER MERIAH,1144004,97.008816, 4.773369
11,18,ACEH,PIDIE JAYA,1144004,96.224738, 5.127348
11,71,ACEH,BANDA ACEH,1144004,95.327326,5.554093
