PROVNO,KABKOTNO,PROVINSI,KABKOT;;;;;;,,,,,,,
11,1,ACEH,SIMEULUE,1144044,96.025017,2.653169,,,,
11,2,ACEH,ACEH SINGKIL,1144004,98.007934,2.394270;;;;;;,,,,
11,2,ACEH,ACEH SINGKIL,1144004,97.985961,2.405247;;;;;;,,,,
11,3,ACEH,ACEH SELATAN,1144004,97.399985,3.146819;;;;;;,,,,
11,4,ACEH,ACEH TENGGARA,1144004,97.718681,3.354321;;;;;;,,,,
11,5,ACEH,ACEH TIMUR,1144004,97.619763,4.609502;;;;;;,,,,
11,6,ACEH,ACEH TENGAH,1144004,96.855822,4.504795;;;;;;,,,,
11,7,ACEH,ACEH BARAT,1144004,96.187114,4.480072;;;;;;,,,,
11,8,ACEH,ACEH BESAR,1144004,95.53111,5.365889;;;;;;,,,,
11,9,ACEH,PIDIE,1144004,95.976674,5.047467;;;;;;,,,,
11,10,ACEH,BIREUEN,1144027,96.623012,5.092543;;;;;;,,,,
11,11,ACEH,ACEH UTARA,1144027,97.147885,5.003163;;;;;;,,,,
11,12,ACEH,ACEH BARAT DAYA,1144027,96.894666,3.839563;;;;;;,,,,
11,13,ACEH,GAYO LUES,1144027,97.356257,3.950720;;;;;;,,,,
11,14,ACEH,ACEH TAMIANG,1144027,97.935478,4.262269;;;;;;,,,,
11,15,ACEH,NAGAN RAYA,1144027,96.497302,4.179051;;;;;;,,,,
11,16,ACEH,ACEH JAYA,1144027,95.679848,4.827339;;;;;;,,,,
11,17,ACEH,BENER MERIAH,1144027,97.008816,4.773369;;;;;;,,,,
11,18,ACEH,PIDIE JAYA,1144027,96.23846,5.154692;;;;;;,,,,
11,71,ACEH,BANDA ACEH,1144027,95.327326,5.554093;;;;;;,,,,
11,72,ACEH,SABANG,1144092,95.336703,5.879867;;;;;;,,,,
11,73,ACEH,LANGSA,1144092,97.962605,4.477007;;;;;;,,,,
11,74,ACEH,LHOKSEUMAWE,1144092,97.121365,5.177015;;;;;;,,,,
