PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
32,01,JAWA BARAT,BOGOR, 1144092,106.809922,-6.601221
32,02,JAWA BARAT,SUKABUMI, 114092,106.932931, -6.931305
32,03,JAWA BARAT,CIANJUR, 1144092,107.145320,-7.048271
32,04,JAWA BARAT,BANDUNG, 1144092,107.635944,-6.918441
32,05,JAWA BARAT,GARUT, 1144092, 107.734665,-7.362047
32,06,JAWA BARAT,TASIKMALAYA, 1144092, 108.214198,-7.356827
32,08,JAWA BARAT,KUNINGAN, 1144092,  108.536027,-6.999063
32,09,JAWA BARAT,CIREBON, 1144092,108.578243, -6.736305
32,10,JAWA BARAT,MAJALENGKA, 1144092, 108.270236, -6.798034
32,11,JAWA BARAT,SUMEDANG, 1144092, 107.951509, -6.807383
32,12,JAWA BARAT,INDRAMAYU, 1144092, 108.146650, -6.436696
32,13,JAWA BARAT,SUBANG, 1144092, 107.741382,-6.497943
32,14,JAWA BARAT,PURWAKARTA, 1144092,  107.422883,-6.593001
32,15,JAWA BARAT,KARAWANG, 1144092, 107.323841,-6.236747
32,16,JAWA BARAT,BEKASI, 1144092, 106.975437, -6.270206
32,17,JAWA BARAT,BANDUNG BARAT, 1144092, 107.417635,-6.886095
32,18,JAWA BARAT,PANGANDARAN, 1144092, 108.515785, -7.606407
32,71,JAWA BARAT,BOGOR, 1144092, 106.904683, -6.593036
32,72,JAWA BARAT,SUKABUMI, 1144092, 106.956675, -6.858946
32,73,JAWA BARAT,BANDUNG, 1144092, 107.570520, -7.116538
32,74,JAWA BARAT,CIREBON, 1144092, 108.715400, -6.860310
32,75,JAWA BARAT,BEKASI, 1144092, 106.975437, -6.270206
32,76,JAWA BARAT,DEPOK, 1144092, 106.852816, -6.392455
32,77,JAWA BARAT,CIMAHI, 1144092, 107.547988, -6.888430
32,78,JAWA BARAT,TASIKMALAYA, 144092, 108.221763, -7.341521
32,79,JAWA BARAT,BANJAR, 1144092, 108.534659, -7.371715
