PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
15,01,JAMBI,KERINCI,1144051,101.459556,-2.070815
15,02,JAMBI,MERANGIN,1144051,102.057124,-2.177450
15,03,JAMBI,SAROLANGUN,1144051,102.664399,-2.313669
15,04,JAMBI,BATANG HARI,1144051, 103.108822,-1.754890
15,05,JAMBI,MUARO JAMBI,1144051,103.723340,-1.608084
15,06,JAMBI,TANJUNG JABUNG TIMUR,1144051,103.929264,-1.160174
15,07,JAMBI,TANJUNG JABUNG BARAT,1144051,103.122444,-1.084338
15,08,JAMBI,TEBO,1144051,102.355956,-1.318974
15,09,JAMBI,BUNGO,1144051,101.906876,-1.592610
15,71,JAMBI,JAMBI,1144051,103.599912,-1.621932
15,72,JAMBI,SUNGAI PENUH,1144051,101.344200,-2.120221
