PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
35,01,JAWA TIMUR,PACITAN,1144033,111.167264,-8.129277
35,02,JAWA TIMUR,PONOROGO,1144033,111.499877,-7.944007
35,03,JAWA TIMUR,TRENGGALEK,1144033,111.627133,-8.151020
35,04,JAWA TIMUR,TULUNGAGUNG,1144033,111.917984,-8.094515
35,05,JAWA TIMUR,BLITAR,1144033,112.241974,-8.130902
35,06,JAWA TIMUR,KEDIRI,1144033,112.019961,-7.848198
35,07,JAWA TIMUR,MALANG,1144033,112.676300,-8.116527
35,08,JAWA TIMUR,LUMAJANG,1144033,113.135328,-8.123947
35,09,JAWA TIMUR,JEMBER,1144033,113.653415,-8.228840
35,10,JAWA TIMUR,BANYUWANGI,1144033,114.214591,-8.323004
35,11,JAWA TIMUR,BONDOWOSO,1144033,113.951084,-7.927509
35,12,JAWA TIMUR,SITUBONDO,1144033,114.021227,-7.737271
35,13,JAWA TIMUR,PROBOLINGGO,1144033,113.319942,-7.855937
35,14,JAWA TIMUR,PASURUAN,1144033,112.822945,-7.722645
35,15,JAWA TIMUR,SIDOARJO,1144033,112.712702,-7.450121
35,16,JAWA TIMUR,MOJOKERTO,1144033,112.485135,-7.538308
35,17,JAWA TIMUR,JOMBANG,1144033,112.266772,-7.564860
35,18,JAWA TIMUR,NGANJUK,1144033,111.933524,-7.596743
35,19,JAWA TIMUR,MADIUN,1144033,111.643859,-7.626769
35,20,JAWA TIMUR,MAGETAN,1144033,111.356993,-7.671703
35,21,JAWA TIMUR,NGAWI,1144033,111.356365,-7.441320
35,22,JAWA TIMUR,BOJONEGORO,1144033,111.809742,-7.260447
35,23,JAWA TIMUR,TUBAN,1144033,111.906969,-6.951138
35,24,JAWA TIMUR,LAMONGAN,1144033,112.320664,-7.122953
35,25,JAWA TIMUR,GRESIK,1144033,112.568628,-7.135579
35,26,JAWA TIMUR,BANGKALAN,1144033,112.933259,-7.046912
35,27,JAWA TIMUR,SAMPANG,1144033,113.253593,-7.060773
35,28,JAWA TIMUR,PAMEKASAN,1144033,113.498031,-7.059933
35,29,JAWA TIMUR,SUMENEP,1144033,113.867135,-7.001525
35,71,JAWA TIMUR,KEDIRI,1144033,112.020304,-7.844117
35,72,JAWA TIMUR,KOTA BLITAR,1144033,112.166113,-8.094994
