PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
18,01,LAMPUNG,LAMPUNG BARAT,1144125,104.193063,-5.032130
18,02,LAMPUNG,TANGGAMUS,1144125,104.671493,-5.379051
18,03,LAMPUNG,LAMPUNG SELATAN,1144125,105.509049,-5.490190
18,04,LAMPUNG,LAMPUNG TIMUR,1144125,105.591926,-5.134634
18,05,LAMPUNG,LAMPUNG TENGAH,1144125,105.263090,-4.862953
18,06,LAMPUNG,LAMPUNG UTARA,1144125,104.803865,-4.809700
18,07,LAMPUNG,WAY KANAN,1144125,104.613519,-4.514942
18,08,LAMPUNG,TULANGBAWANG,1144125,105.532582,-4.372526
18,09,LAMPUNG,PESAWARAN,1144125,105.104489,-5.463606
18,10,LAMPUNG,PRINGSEWU,1144125,104.920791,-5.329430
18,11,LAMPUNG,MESUJI,1144125,105.376261,-4.020605
18,12,LAMPUNG,TULANG BAWANG BARAT,1144125,105.092256,-4.457518
18,13,LAMPUNG,PESISIR BARAT,1144125,104.161716,-5.331558
