PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
14,01,RIAU,KUANTAN SINGINGI,1144067,101.514813,-0.496540
14,02,RIAU,INDRAGIRI HULU,1144067,102.369096,-0.500775
14,03,RIAU,INDRAGIRI HILIR,1144067,103.098789,-0.202624
14,04,RIAU,PELALAWAN,1144067,102.218449,0.243687
14,05,RIAU,S I A K,1144067,101.728843,0.858203
14,06,RIAU,KAMPAR,1144067,101.140794,0.336805
14,07,RIAU,ROKAN HULU,1144067,100.471105,0.92068
14,08,RIAU,BENGKALIS,1144067,101.580298,1.308240
14,09,RIAU,ROKAN HILIR,1144067,100.733724,1.779733
14,10,RIAU,KEPULAUAN MERANTI,1144067,102.747686,0.972441
14,71,RIAU,PEKANBARU,1144067,101.448382,0.522717
14,73,RIAU,D U M A I,1144067,101.359614,1.688508
