PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
16,01,SUMATERA SELATAN,OGAN KOMERING ULU,1144115,104.088588,-4.107725
16,02,SUMATERA SELATAN,OGAN KOMERING ILIR,1144115,105.374245,-3.338106
16,03,SUMATERA SELATAN,MUARA ENIM,1144115,104.005788,-3.762634
16,04,SUMATERA SELATAN,LAHAT,1144115,103.423180,-3.796126
16,05,SUMATERA SELATAN,MUSI RAWAS,1144115,103.122779,-3.164189
16,06,SUMATERA SELATAN,MUSI BANYUASIN,1144115,103.830211,-2.438087
16,07,SUMATERA SELATAN,BANYUASIN,1144115,105.054037,-2.491875
16,08,SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1144115,103.905171, -4.578598
16,09,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1144115,104.565937, -4.056827
16,10,SUMATERA SELATAN,OGAN ILIR,1144115,104.597077,-3.410024
16,11,SUMATERA SELATAN,EMPAT LAWANG,1144115,102.927196,-3.749890
16,12,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1144115,103.992169,-3.212477
16,13,SUMATERA SELATAN,MUSI RAWAS UTARA,1144115,102.711294,-2.734880
16,71,SUMATERA SELATAN,PALEMBANG,1144115,104.740084,-2.968469
16,72,SUMATERA SELATAN,PRABUMULIH,1144115,104.238309,-3.455368
16,73,SUMATERA SELATAN,PAGAR ALAM,1144115,103.264261,-4.103628
