PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
12,01,SUMATERA UTARA,NIAS,1144049, 97.522109, 1.154846 
12,02,SUMATERA UTARA,MANDAILING NATAL,1144049, 99.363823, 0.793299 
12,03,SUMATERA UTARA,TAPANULI SELATAN,1144049, 99.154356, 1.515302
12,04,SUMATERA UTARA,TAPANULI TENGAH,1144049, 98.656347, 1.918657
12,05,SUMATERA UTARA,TAPANULI UTARA,1144049, 99.074889, 2.023261
12,06,SUMATERA UTARA,TOBA SAMOSIR,1144049, 99.293638, 2.377321
12,07,SUMATERA UTARA,LABUHAN BATU,1144049, 100.065178, 2.275284
12,08,SUMATERA UTARA,ASAHAN,1144049, 99.640398, 2.863302
12,09,SUMATERA UTARA,SIMALUNGUN,1144049, 98.939155, 2.928528
12,10,SUMATERA UTARA,DAIRI,1144049, 98.256026, 2.855924
12,11,SUMATERA UTARA,KARO,1144049, 98.310077, 3.125848
12,12,SUMATERA UTARA,DELI SERDANG,1144049, 98.665443, 3.438689
12,13,SUMATERA UTARA,LANGKAT,1144049, 98.187571, 3.738034
12,14,SUMATERA UTARA,NIAS SELATAN,1144049, 97.744257, 0.799970
12,15,SUMATERA UTARA,HUMBANG HASUNDUTAN,1144049, 98.546646, 2.278004
12,16,SUMATERA UTARA,PAKPAK BHARAT,1144049, 98.293194, 2.562098
12,17,SUMATERA UTARA,SAMOSIR,1144049, 98.771646, 2.602838
12,18,SUMATERA UTARA,SERDANG BEDAGAI,1144049, 99.064781, 3.393886 
12,19,SUMATERA UTARA,BATU BARA,1144049, 99.481319, 3.235904
12,20,SUMATERA UTARA,PADANG LAWAS UTARA,1144049, 99.757415, 1.592403
12,21,SUMATERA UTARA,PADANG LAWAS,1144049, 99.845183, 1.129026
12,22,SUMATERA UTARA,LABUHAN BATU SELATAN,1144049, 100.129103, 1.840616 
12,23,SUMATERA UTARA,LABUHAN BATU UTARA,1144049, 99.750471, 2.395324
12,24,SUMATERA UTARA,NIAS UTARA,1144049, 97.364021, 1.303287
12,25,SUMATERA UTARA,NIAS BARAT,1144049, 97.419657, 1.053713
12,71,SUMATERA UTARA,SIBOLGA,1144049, 98.785090, 1.736999
12,72,SUMATERA UTARA,TANJUNG BALAI,1144049, 99.798478, 2.965885
12,73,SUMATERA UTARA,PEMATANG SIANTAR,1144049, 99.064177, 2.960991
12,74,SUMATERA UTARA,TEBING TINGGI,1144049, 99.156183, 3.327379
12,75,SUMATERA UTARA,MEDAN,1144049, 98.669479, 3.597733
12,76,SUMATERA UTARA,BINJAI,1144049, 98.503311, 3.613494
12,77,SUMATERA UTARA,PADANGSIDIMPUAN,1144049, 99.274229, 1.372920
12,78,SUMATERA UTARA,GUNUNGSITOLI,1144049, 97.604535, 1.284295
12,88,SUMATERA UTARA,DANAU TOBA,1144049, 98.613436, 2.790431
